id_line,name_line,id_groupoflines,air_conditioning,route_id,temperature,stop_id,nb_validations,temp_score,stops_score,validations_score,ac_score,priority_score,rank
C01159,131,A01014,false,C01159,24.35236,4,148167.0,0.23204365,0.03260869565217391,0.1369120692205295,1.0,36.036285553377276,89
C01151,122,A01006,false,C01151,24.281832,18,236226.0,0.059134353,0.18478260869565216,0.21831552285164915,1.0,35.92757098278314,90
C01111,76,A00965,true,C01111,24.604418,33,139654.0,0.84999907,0.34782608695652173,0.12904248631859191,0.0,35.68255659816793,91
C01191,170,A01049,false,C01191,24.293255,2,335210.0,0.0871397,0.010869565217391304,0.30981825913326433,1.0,35.57703895718657,92
C01154,125,A01009,partial,C01154,24.398453,40,176157.0,0.34504706,0.42391304347826086,0.16278657003401864,0.5,35.399337118687626,93
C01223,208,A01081,partial,C01223,24.4579,23,146611.0,0.490788,0.2391304347826087,0.13547367253364886,0.5,35.39309118930651,94
C01184,162,A01041,false,C01184,24.357708,5,91796.0,0.24515553,0.043478260869565216,0.08480161958290194,1.0,35.344271999631246,95
C01153,124,A01008,false,C01153,24.281832,19,193953.0,0.059134353,0.1956521739130435,0.17923753882561752,1.0,35.168012686480175,96
C01164,138,A01019,false,C01164,24.323605,20,49157.0,0.1615463,0.20652173913043478,0.04538529803283538,1.0,35.111456452594425,97
C01131,102,A00986,false,C01131,24.325636,17,70304.0,0.16652638,0.17391304347826086,0.06493399645022925,1.0,35.09740239487659,98
C01337,L'AUDONIENNE,A01203,false,C01337,24.366285,7,2823.0,0.2661841,0.06521739130434782,0.002553246561159592,1.0,34.35370233320219,99
C01147,118,A01002,false,C01147,24.281832,17,158050.0,0.059134353,0.17391304347826086,0.14604810678893654,1.0,33.903494276867505,100
C01363,V7,A01239,false,C01363,24.357708,8,77.0,0.24515553,0.07608695652173914,1.4790711433219938e-05,1.0,33.876775190888004,101
C01205,184,A01063,false,C01205,24.336317,8,62985.0,0.19271272,0.07608695652173914,0.05816817038899571,1.0,33.75732533994205,102
C01189,167,A01046,false,C01189,24.260756,35,47448.0,0.0074631055,0.3695652173913043,0.04380546516787458,1.0,33.71033416030646,103
C01333,La Traverse Ney - Flandre,A01202,false,C01333,24.293255,28,4205.0,0.0871397,0.29347826086956524,0.003830794261203964,1.0,33.57952624842854,104
C01100,64,A00954,true,C01100,24.45748,52,319560.0,0.48975927,0.5543478260869565,0.2953510945126461,0.0,33.16351276991982,105
C01207,186,A01065,false,C01207,24.347012,2,54960.0,0.21893178,0.010869565217391304,0.050749704185771335,1.0,33.05408743596583,106
C01238,239,A01095,false,C01238,24.293255,16,93262.0,0.0871397,0.16304347826086957,0.08615681851797072,1.0,33.0289812026738,107
C01306,366,A01165,false,C01306,24.271067,28,34891.0,0.03274227,0.29347826086956524,0.03219752995119065,1.0,32.6567716207922,108
C01166,140,A01021,false,C01166,24.268835,23,77368.0,0.027271196,0.2391304347826087,0.07146409554799586,1.0,32.38734704624229,109
C01078,28,A00932,partial,C01078,24.366674,50,51827.0,0.26713803,0.532608695652174,0.047853498003253954,0.5,32.362652386283855,110
C01311,378,A01170,false,C01311,24.257711,10,232492.0,0.0,0.09782608695652174,0.21486374057092147,1.0,32.328115253403475,111
C01176,152,A01032,false,C01176,24.293255,4,165449.0,0.0871397,0.03260869565217391,0.1528878864073362,1.0,32.088562247734025,112
C01177,153,A01033,false,C01177,24.293253,6,145826.0,0.087135024,0.05434782608695652,0.13474800325395653,1.0,32.06970752041545,113
C01334,520,A01212,false,C01334,24.305555,14,24439.0,0.11729608,0.14130434782608695,0.022535497707439726,1.0,31.908356793044707,114
C01260,281,A01120,true,C01260,24.475712,61,104923.0,0.5344584,0.6521739130434783,0.09693647389439432,0.0,31.50064237082174,115
C01256,275,A01116,false,C01256,24.275473,12,117514.0,0.043544132,0.11956521739130435,0.10857583937287384,1.0,31.41202431864843,116
C01237,238,A01094,false,C01237,24.263117,23,49742.0,0.013252156,0.2391304347826087,0.04592608341961248,1.0,31.328325484741104,117
C01195,174,A01053,partial,C01195,24.342493,44,130112.0,0.20785403,0.4673913043478261,0.12022167578760538,0.5,31.088989106152653,118
C01156,127,A01011,false,C01156,24.281832,14,63041.0,0.059134353,0.14130434782608695,0.05821993787901198,1.0,31.05561614107591,119
C01089,48,A00943,partial,C01089,24.4256,19,96854.0,0.4116024,0.1956521739130435,0.08947733323472859,0.5,30.99804978500303,120
C01196,175,A01054,false,C01196,24.269552,17,66264.0,0.029029422,0.17391304347826086,0.061199341813341225,1.0,30.87912713465392,121
C01235,235,A01092,false,C01235,24.277391,9,113525.0,0.04824832,0.08695652173913043,0.1048883301286792,1.0,30.808788405670267,122
C01255,274,A01115,partial,C01255,24.346329,36,127629.0,0.21725772,0.3804347826086957,0.11792634225706257,0.5,29.57458635200258,123
C01074,22,A00928,partial,C01074,24.38513,20,146853.0,0.31238428,0.20652173913043478,0.13569738204407633,0.5,29.394398108210495,124
C01116,84,A00970,true,C01116,24.482906,52,73522.0,0.5520968,0.5543478260869565,0.06790877828723561,0.0,29.347580396434825,125
C00007,282,A00005,partial,C00007,24.394253,31,4895.0,0.3347502,0.32608695652173914,0.004468643691761574,0.5,29.175961679103946,126
C01356,RIVER PLAZA,A01223,false,C01356,24.277391,13,167.0,0.04824832,0.13043478260869565,9.798846324508209e-05,1.0,29.05859508142572,127
C01081,31,A00935,true,C01081,24.417662,49,293506.0,0.39214036,0.5217391304347826,0.27126626978257656,0.0,28.980650560888314,128
C01258,278,A01118,false,C01258,24.267859,14,17013.0,0.024877017,0.14130434782608695,0.015670758763496523,1.0,28.96416647446601,129
C01244,252,A01102,false,C01244,24.293255,1,51945.0,0.0871397,0.0,0.04796257950007395,1.0,28.81325566200899,130
C01298,350,A01155,false,C01298,24.293255,2,39890.0,0.0871397,0.010869565217391304,0.0368187028546073,1.0,28.752050050220145,131
C01292,340,A01150,false,C01292,24.277391,8,30403.0,0.04824832,0.07608695652173914,0.02804873539417246,1.0,28.67040723295978,132
C01197,176,A01055,false,C01197,24.27547,4,54903.0,0.043539457,0.03260869565217391,0.05069701227629049,1.0,28.225782949271505,133
C01133,104,A00988,true,C01133,24.456453,54,81073.0,0.4872435,0.5760869565217391,0.07488906966425085,0.0,28.011271866074868,134
C01277,308,A01137,true,C01277,24.438879,46,193898.0,0.44415763,0.4891304347826087,0.17918669575506582,0.0,27.587006187776346,135
C00551,423,A00464,partial,C00551,24.387745,16,79154.0,0.31879523,0.16304347826086957,0.07311510871172903,0.5,27.152604599981444,136
C01160,132,A01015,true,C01160,24.460361,36,194350.0,0.49682492,0.3804347826086957,0.1796045333530543,0.0,27.003556889347287,137
C02244,45,A02314,true,C02244,24.442295,53,82686.0,0.4525326,0.5652173913043478,0.07638015826061234,0.0,26.78983035973926,138
C01202,181,A01060,true,C01202,24.483507,38,71068.0,0.55356973,0.40217391304347827,0.0656402529211655,0.0,26.29157690481774,139
C00004,483,A00002,partial,C00004,24.359207,14,131768.0,0.24883097,0.14130434782608695,0.12175251442094365,0.5,25.834829487140777,140
C01163,137,A01018,partial,C01163,24.353586,14,126350.0,0.23505041,0.14130434782608695,0.11674400976186955,0.5,25.296199799559872,141
C02245,59,A02316,partial,C02245,24.336317,20,116311.0,0.19271272,0.20652173913043478,0.10746376275698862,0.5,25.098410801315787,142
C01174,150,A01030,partial,C01174,24.293253,6,364061.0,0.087135024,0.05434782608695652,0.3364886851057536,0.5,24.61322456671037,143
C01199,178,A01057,partial,C01199,24.261942,27,213377.0,0.010371659,0.2826086956521739,0.1971934625055465,0.5,23.393160248870075,144
C00580,4134,A00490,partial,C00580,24.355484,14,28594.0,0.23970316,0.14130434782608695,0.02637646058275403,0.5,23.176593972275054,145
C01188,166,A01045,partial,C01188,24.330727,15,77529.0,0.17900698,0.15217391304347827,0.07161292708179263,0.5,22.704011176526556,146
C01318,393,A01178,true,C01318,24.359873,34,310096.0,0.25046295,0.358695652173913,0.28660238869989646,0.0,21.85286168628962,147
C01236,237,A01093,partial,C01236,24.366285,2,48187.0,0.2661841,0.010869565217391304,0.04448861115219642,0.5,21.815129926238978,148
C00573,428,A00483,true,C00573,24.401674,27,165467.0,0.35294503,0.2826086956521739,0.15290452595769857,0.0,20.063138699110958,149
C02456,439,A02432,true,C02456,24.45505,24,3648.0,0.48380187,0.25,0.003315892619434995,0.0,19.596954653723635,150
C00581,450,A00491,true,C00581,24.437473,20,94748.0,0.44071132,0.20652173913043478,0.08753050584233102,0.0,19.540037310087108,151
C00548,451,A00461,true,C00548,24.452854,19,27887.0,0.47841966,0.1956521739130435,0.025722896021298625,0.0,18.908705724450684,152
C01751,430,A02709,true,C01751,24.410662,27,85558.0,0.37497896,0.2826086956521739,0.07903509096287531,0.0,18.877420569973637,153
C00263,Express 100,A00241,true,C00263,24.510483,1,11602.0,0.6197043,0.0,0.010668725040674457,0.0,18.857847905832536,154
C00557,436,A00470,true,C00557,24.38995,40,16537.0,0.32420084,0.42391304347826086,0.015230735098358232,0.0,18.585055156209584,155
C00084,437,A00077,true,C00084,24.450321,13,72168.0,0.47220975,0.13043478260869565,0.06665711433219938,0.0,18.441416058658525,156
C00594,429,A00502,true,C00594,24.410425,27,46548.0,0.37439913,0.2826086956521739,0.042973487649755955,0.0,17.958485616626017,157
C01150,121,A01005,partial,C01150,24.281832,2,104145.0,0.059134353,0.010869565217391304,0.096217275550954,0.5,16.896853930700544,158
C01206,185,A01064,true,C01206,24.356846,27,149450.0,0.24304192,0.2826086956521739,0.13809809939358084,0.0,16.395884524380268,159
C02429,447,A00078,true,C02429,24.391544,20,39802.0,0.3281101,0.20652173913043478,0.036737353941724595,0.0,14.89217189433922,160
C02430,448,A00078,true,C02430,24.416737,10,39802.0,0.38987243,0.09782608695652174,0.036737353941724595,0.0,14.571128838348752,161
C01680,35,A01758,true,C01680,24.330507,26,153723.0,0.17846923,0.2717391304347826,0.14204814376571512,0.0,14.340063199284186,162
C02111,443,A00468,true,C02111,24.366354,27,21506.0,0.26635244,0.2826086956521739,0.019824175417837597,0.0,14.138351645104258,163
C01273,302,A01133,true,C01273,24.363945,23,53587.0,0.2604465,0.2391304347826087,0.04948047626090815,0.0,13.833015416904567,164
C00574,427,A00484,true,C00574,24.335186,11,243663.0,0.18993977,0.10869565217391304,0.2251904304097027,0.0,13.501867040906307,165
C02459,382,A02431,true,C02459,24.410774,9,18851.0,0.37525484,0.08695652173913043,0.017369841739387666,0.0,13.431021966052642,166
C01204,183,A01062,true,C01204,24.359207,16,98867.0,0.24883097,0.16304347826086957,0.09133818961692057,0.0,13.009253975735849,167
C02112,444,A00468,true,C02112,24.366354,20,21506.0,0.26635244,0.20652173913043478,0.019824175417837597,0.0,12.616612514669473,168
C00547,440,A00472,true,C00547,24.366354,14,37112.0,0.26635244,0.14130434782608695,0.03425066558201449,0.0,11.67292694268694,169
C00555,434,A00468,true,C00555,24.366354,15,21506.0,0.26635244,0.15217391304347827,0.019824175417837597,0.0,11.529655992930344,170
C00085,438,A00078,true,C00085,24.366354,13,39802.0,0.26635244,0.13043478260869565,0.036737353941724595,0.0,11.517702847331867,171
C02714,202,A02903,true,C02714,24.33613,16,51480.0,0.19225445,0.16304347826086957,0.047532724449046,0.0,10.21682144237944,172
C00554,433,A00467,true,C00554,24.366354,5,9277.0,0.26635244,0.043478260869565216,0.008519449785534684,0.0,9.07312480864451,173
C01198,177,A01056,true,C01198,24.277391,20,130995.0,0.04824832,0.20652173913043478,0.1210379381748262,0.0,8.60383295465003,174
C01230,216,A01087,true,C01230,24.336317,11,27162.0,0.19271272,0.10869565217391304,0.025052691909480847,0.0,8.581612290997654,175
C01275,304,A01135,true,C01275,24.257711,10,262598.0,0.0,0.09782608695652174,0.24269431297145394,0.0,8.023879563416783,176
C01165,139,A01020,true,C01165,24.293255,7,80087.0,0.0871397,0.06521739130434782,0.07397759207217867,0.0,5.767978802398564,177
C01181,158,A01037,true,C01181,24.27547,2,56543.0,0.043539457,0.010869565217391304,0.052213060198195535,0.0,2.828901538623479,178
C01180,157,A01036,true,C01180,24.27547,2,45682.0,0.043539457,0.010869565217391304,0.042172940393432924,0.0,2.5778985435044137,179
C01241,249,A01099,partial,C01241,24.293255,1,,0.0871397,0.0,,0.5,,180
C01845,N,A01847,unknown,C01845,24.330774,2,,0.17912388,0.010869565217391304,,1.0,,181
C01851,C,A01840,unknown,C01851,24.465708,6,,0.5099321,0.05434782608695652,,1.0,,182
C02745,363,A02951,unknown,C02745,24.257711,5,,0.0,0.043478260869565216,,1.0,,183
C01757,La Traverse Brancion-Commerce,A01771,unknown,C01757,24.330774,12,,0.17912388,0.11956521739130435,,1.0,,184
C01847,L,A02176,unknown,C01847,24.343588,8,,0.21053813,0.07608695652173914,,1.0,,185
C01849,A,A01856,unknown,C01849,24.369255,6,,0.27346483,0.05434782608695652,,1.0,,186
C01360,CHOISYBUS,A01209,true,C01360,24.362072,17,,0.25585452,0.17391304347826086,,0.0,,187
