arrid,arrname,arrgeopoint,zdaid,lat_left,lon_left,geometry,lon_right,lat_right,temperature
41519,Gare Montparnasse,"48.84015284128884, 2.317415017911824",463857,48.84015284128884,2.317415017911824,POINT (2.317415017911824 48.84015284128884),2.3083,48.849,24.330774
491621,Paris Gare du Nord,"48.881232554869804, 2.3575657605866396",473224,48.881232554869804,2.3575657605866396,POINT (2.3575657605866396 48.881232554869804),2.3413,48.872,24.605782
40073,Assas - Duguay Trouin,"48.846242460588385, 2.3303078227079372",45112,48.846242460588385,2.3303078227079372,POINT (2.3303078227079372 48.846242460588385),2.3424,48.849,24.677244
37321,Radiguet,"48.89276207140559, 2.3694392489564136",45584,48.89276207140559,2.3694392489564136,POINT (2.3694392489564136 48.89276207140559),2.3744,48.895,24.293255
22325,Panthéon,"48.846622373293556, 2.3436843842725605",45697,48.846622373293556,2.3436843842725605,POINT (2.3436843842725605 48.846622373293556),2.3424,48.849,24.677244
421123,Jules Ferry,"48.78281896842468, 2.5328755622705508",43485,48.78281896842468,2.5328755622705508,POINT (2.5328755622705508 48.78281896842468),2.5159,48.785,24.366354
30103,Daviel,"48.82879403415539, 2.3431596206543523",45275,48.82879403415539,2.3431596206543523,POINT (2.3431596206543523 48.82879403415539),2.3434,48.827,24.336317
491530,Alembert Carrel,"48.85473744754727, 2.417191243964535",491531,48.85473744754727,2.417191243964535,POINT (2.417191243964535 48.85473744754727),2.4106,48.851,24.405943
483729,Porte de Montmartre,"48.900284313428976, 2.3320133985321125",462741,48.900284313428976,2.3320133985321125,POINT (2.3320133985321125 48.900284313428976),2.3403,48.894,24.366285
36485,Pont Saint-Michel - Quai des Orfèvres,"48.854459862568255, 2.344430648043634",45093,48.854459862568255,2.344430648043634,POINT (2.344430648043634 48.854459862568255),2.3424,48.849,24.677244
36140,Porte de Vitry,"48.82375491827186, 2.376266961047644",45307,48.82375491827186,2.376266961047644,POINT (2.376266961047644 48.82375491827186),2.3775,48.828,24.588678
16931,Mairie de Saint-Mandé,"48.84387290121433, 2.418961472915308",54144,48.84387290121433,2.418961472915308,POINT (2.418961472915308 48.84387290121433),2.4106,48.851,24.405943
9105,Bucarest,"48.880322385387615, 2.324551719118203",45147,48.880322385387615,2.324551719118203,POINT (2.324551719118203 48.880322385387615),2.3413,48.872,24.605782
37376,Varsovie,"48.86124427703309, 2.2913632237988164",58764,48.86124427703309,2.2913632237988164,POINT (2.2913632237988164 48.86124427703309),2.3072,48.871,24.38513
37355,Opéra,"48.87144809747836, 2.3313470807046435",473235,48.87144809747836,2.3313470807046435,POINT (2.3313470807046435 48.87144809747836),2.3413,48.872,24.605782
24862,Damrémont - Caulaincourt,"48.88695821424922, 2.332347997414308",45557,48.88695821424922,2.332347997414308,POINT (2.332347997414308 48.88695821424922),2.3403,48.894,24.366285
22751,Damrémont - Caulaincourt,"48.887067722373715, 2.332632976934533",45557,48.887067722373715,2.332632976934533,POINT (2.332632976934533 48.887067722373715),2.3403,48.894,24.366285
28997,Turin - Batignolles,"48.8831008913874, 2.3244747715827034",44971,48.8831008913874,2.3244747715827034,POINT (2.3244747715827034 48.8831008913874),2.3413,48.872,24.605782
28997,Turin - Batignolles,"48.8831008913874, 2.3244747715827034",44971,48.8831008913874,2.3244747715827034,POINT (2.3244747715827034 48.8831008913874),2.3403,48.894,24.366285
28992,Monceau,"48.880398931679565, 2.3095924823621012",473634,48.880398931679565,2.3095924823621012,POINT (2.3095924823621012 48.880398931679565),2.3072,48.871,24.38513
463581,Pont Charles de Gaulle,"48.84334640259574, 2.370023509719699",464041,48.84334640259574,2.370023509719699,POINT (2.370023509719699 48.84334640259574),2.3765,48.85,24.665602
463533,Sully - Morland,"48.850459315291914, 2.361352076245899",473750,48.850459315291914,2.361352076245899,POINT (2.361352076245899 48.850459315291914),2.3765,48.85,24.665602
491488,Moncey,"48.8797220204249, 2.331349933957014",491494,48.8797220204249,2.331349933957014,POINT (2.331349933957014 48.8797220204249),2.3413,48.872,24.605782
463963,Place d'Italie - Choisy,"48.830448733763895, 2.356366198561423",474346,48.830448733763895,2.356366198561423,POINT (2.356366198561423 48.830448733763895),2.3434,48.827,24.336317
427001,Porte de France,"48.82744174486966, 2.3813445932480777",427002,48.82744174486966,2.3813445932480777,POINT (2.3813445932480777 48.82744174486966),2.3775,48.828,24.588678
37713,Bobillot - Tolbiac,"48.82582657390051, 2.34983056806409",42346,48.82582657390051,2.34983056806409,POINT (2.34983056806409 48.82582657390051),2.3434,48.827,24.336317
491014,Évangile - Aubervilliers,"48.895619402851686, 2.370673115863546",420658,48.895619402851686,2.370673115863546,POINT (2.370673115863546 48.895619402851686),2.3744,48.895,24.293255
491286,Laumière,"48.885856968466584, 2.381837018592693",43428,48.885856968466584,2.381837018592693,POINT (2.381837018592693 48.885856968466584),2.3744,48.895,24.293255
462565,Wagram - Ampère,"48.88467629078273, 2.302785591895505",42194,48.88467629078273,2.302785591895505,POINT (2.302785591895505 48.88467629078273),2.3061,48.894,24.409426
27129,Anjou - Chauveau Lagarde,"48.872273923325714, 2.321479494481045",45681,48.872273923325714,2.321479494481045,POINT (2.321479494481045 48.872273923325714),2.3072,48.871,24.38513
490977,Square Sainte-Odile,"48.886507716829264, 2.2976198394375773",491016,48.886507716829264,2.2976198394375773,POINT (2.2976198394375773 48.886507716829264),2.3061,48.894,24.409426
26250,Eglise Saint-Ferdinand,"48.87963046096298, 2.2904449101718884",45512,48.87963046096298,2.2904449101718884,POINT (2.2904449101718884 48.87963046096298),2.3072,48.871,24.38513
8068,Gare de Colombes,"48.923679479287664, 2.2592886112751644",473259,48.923679479287664,2.2592886112751644,POINT (2.2592886112751644 48.923679479287664),2.2709,48.915,24.257711
488835,Maisons-Alfort - Alfortville RER,"48.802954440974005, 2.4270281925041406",45723,48.802954440974005,2.4270281925041406,POINT (2.4270281925041406 48.802954440974005),2.4126,48.806,24.47005
26720,Ourcq,"48.88712446108181, 2.3869768548504693",473644,48.88712446108181,2.3869768548504693,POINT (2.3869768548504693 48.88712446108181),2.3744,48.895,24.293255
479844,Gare de l'Est,"48.87617812751251, 2.3575326652256745",473826,48.87617812751251,2.3575326652256745,POINT (2.3575326652256745 48.87617812751251),2.3413,48.872,24.605782
463691,Jean-Jacques Rousseau,"48.81826863761424, 2.39373798611226",50401,48.81826863761424,2.39373798611226,POINT (2.39373798611226 48.81826863761424),2.3775,48.828,24.588678
37072,Orteaux - Maraichers,"48.85599634888899, 2.4061784998567037",45651,48.85599634888899,2.4061784998567037,POINT (2.4061784998567037 48.85599634888899),2.4106,48.851,24.405943
36151,Les Ardoines RER,"48.784099780719195, 2.407895014852357",473492,48.784099780719195,2.407895014852357,POINT (2.407895014852357 48.784099780719195),2.4137,48.783,24.410774
28261,Colonel Fabien,"48.878245408561106, 2.3708557889935795",463881,48.878245408561106,2.3708557889935795,POINT (2.3708557889935795 48.878245408561106),2.3754,48.872,24.465027
491061,Colonel Fabien,"48.878266218947175, 2.36968293131287",463881,48.878266218947175,2.36968293131287,POINT (2.36968293131287 48.878266218947175),2.3754,48.872,24.465027
28243,Barbès - Rochechouart,"48.883461155557086, 2.3489200997998028",463328,48.883461155557086,2.3489200997998028,POINT (2.3489200997998028 48.883461155557086),2.3403,48.894,24.366285
491011,Place de Torcy,"48.89140519877706, 2.361163531598165",45572,48.89140519877706,2.361163531598165,POINT (2.361163531598165 48.89140519877706),2.3744,48.895,24.293255
28198,René Coty,"48.809942664307165, 2.4422433189816526",45724,48.809942664307165,2.4422433189816526,POINT (2.4422433189816526 48.809942664307165),2.4467,48.806,24.510483
